mutation	freq
0	0
1	73
2	74
3	107
4	96
5	109
6	82
7	62
8	35
9	34
10	31
11	20
12	10
13	11
14	5
15	7
16	3
17	1
18	1
19	2
20	1
21	0
22	0
23	2
24	1
25	0
26	1
27	0
28	2
29	0
30	1
31	0
32	1
33	0
34	0
35	0
36	1
37	1
38	1
39	2
40	2
41	2
42	2
43	1
44	2
45	0
46	1
47	0
48	2
49	4
50	3
51	1
52	0
53	2
54	1
55	0
56	1
57	0
58	0
59	1
60	0
61	0
62	0
63	1
64	0
65	0
66	0
67	0
68	2
69	0
70	0
71	1
72	0
73	0
74	0
75	1
76	1
77	0
78	1
79	0
80	0
81	1
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	1
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	1
103	0
104	0
105	0
106	0
107	1
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	1
