mutation	freq
0	0
1	75
2	141
3	160
4	162
5	122
6	114
7	69
8	39
9	41
10	27
11	16
12	14
13	11
14	8
15	9
16	8
17	3
18	7
19	3
20	6
21	4
22	1
23	5
24	1
25	3
26	3
27	5
28	2
29	1
30	2
31	0
32	0
33	1
34	0
35	0
36	1
37	1
38	1
39	2
40	1
41	0
42	1
43	0
44	1
45	0
46	2
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	1
