mutation	freq
0	0
1	20
2	31
3	20
4	18
5	14
6	15
7	13
8	13
9	11
10	7
11	9
12	10
13	6
14	4
15	5
16	8
17	2
18	5
19	4
20	7
21	6
22	2
23	3
24	3
25	1
26	5
27	3
28	0
29	0
30	2
31	2
32	2
33	1
34	4
35	1
36	4
37	3
38	5
39	1
40	2
41	4
42	0
43	0
44	3
45	2
46	0
47	1
48	3
49	2
50	1
51	0
52	1
53	1
54	2
55	0
56	1
57	0
58	0
59	1
60	1
61	0
62	0
63	0
64	0
65	0
66	2
67	1
68	0
69	2
70	0
71	1
72	0
73	0
74	1
75	0
76	0
77	0
78	0
79	1
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	1
92	0
93	1
94	1
95	0
96	0
97	1
98	0
99	0
100	1
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	1
114	1
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	1
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	1
164	0
165	0
166	1
